running time, rating, release date, studio, movie title, gross earnings, year
116,R,6/10/1994,20th Century Fox,Speed,350448145,1994,
91,PG,5/27/1994,Universal Pictures / Amblin Entertainment,The Flintstones,341631208,1994,
89,G,6/24/1994,Walt Disney Pictures,The Lion King,768625889,1994,
101,PG-13,7/29/1994,New Line Cinema,The Mask,351583407,1994,
141,R,7/15/1994,20th Century Fox,True Lies,378882411,1994,
112,R,5/28/1993,TriStar Pictures / Carolco Pictures,Cliffhanger,255000211,1993,
117,R,4/7/1993,Paramount Pictures,Indecent Proposal,266614059,1993,
127,PG-13,6/11/1993,Universal Pictures / Amblin Entertainment,Jurassic Park,914691118,1993,
125,PG-13,11/24/1993,20th Century Fox,Mrs. Doubtfire,441286195,1993,
125,PG-13,1/14/1994,TriStar Pictures,Philadelphia,206678440,1993,
195,R,2/4/1994,Universal Pictures / Amblin Entertainment,Schindler's List,321306305,1993,
105,PG,6/25/1993,TriStar Pictures,Sleepless in Seattle,227799884,1993,
154,R,6/30/1993,Paramount Pictures,The Firm,270248367,1993,
130,PG-13,8/6/1993,Warner Bros.,The Fugitive,368875760,1993,
141,PG-13,12/17/1993,Warner Bros.,The Pelican Brief,195268056,1993,
138,R,12/11/1992,Columbia Pictures / Castle Rock Entertainment,A Few Good Men,243240178,1992,
90,G,11/25/1992,Walt Disney Pictures,Aladdin,504050219,1992,
127,R,3/20/1992,TriStar Pictures / Carolco Pictures,Basic Instinct,352927224,1992,
126,PG-13,6/19/1992,Warner Bros. / PolyGram,Batman Returns,266822354,1992,
128,R,11/13/1992,Columbia Pictures,Bram Stoker's Dracula,215862692,1992,
120,PG,11/20/1992,20th Century Fox,Home Alone 2: Lost in New York,358994850,1992,
118,R,5/15/1992,Warner Bros.,Lethal Weapon 3,321731527,1992,
100,PG,5/29/1992,Touchstone Pictures,Sister Act,231605150,1992,
129,R,11/25/1992,Warner Bros.,The Bodyguard,411006740,1992,
94,PG-13,2/14/1992,Paramount Pictures,Wayne's World,183097323,1992,
84,G,11/22/1991,Walt Disney Pictures,Beauty and the Beast,351863363,1991,
128,R,11/15/1991,Universal Pictures,Cape Fear,182291969,1991,
113,PG-13,6/7/1991,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,City Slickers,179033791,1991,
142,PG,12/11/1991,TriStar Pictures / Amblin Entertainment,Hook,300854823,1991,
84,PG-13,7/31/1991,20th Century Fox,Hot Shots!,181096164,1991,
189,R,12/20/1991,Warner Bros.,JFK,205405498,1991,
143,PG-13,6/14/1991,Warner Bros.,Robin Hood: Prince of Thieves,390493908,1991,
137,R,7/3/1991,TriStar Pictures / Carolco Pictures / Lightstorm Entertainment,Terminator 2: Judgment Day,519843345,1991,
99,PG-13,11/22/1991,Paramount Pictures / Orion Pictures,The Addams Family,191502426,1991,
118,R,2/14/1991,Orion Pictures,The Silence of the Lambs,272742922,1991,
118,PG,5/25/1990,Universal Pictures,Back to the Future Part III,244527583,1990,
181,PG-13,11/21/1990,Orion Pictures,Dances with Wolves,424208848,1990,
124,R,7/4/1990,20th Century Fox / Silver Pictures,Die Hard 2,240031094,1990,
127,PG-13,7/13/1990,Paramount Pictures,Ghost,505702588,1990,
103,PG,11/16/1990,20th Century Fox,Home Alone,476684675,1990,
111,PG-13,12/21/1990,Universal Pictures,Kindergarten Cop,201957688,1990,
127,R,7/27/1990,Warner Bros.,Presumed Innocent,221303188,1990,
119,R,3/23/1990,Touchstone Pictures,Pretty Woman,463406268,1990,
93,PG,3/30/1990,New Line Cinema,Teenage Mutant Ninja Turtles,201965915,1990,
113,R,6/1/1990,TriStar Pictures / Carolco Pictures,Total Recall,261336002,1990,
108,PG,11/22/1989,Universal Pictures,Back to the Future Part II,331950002,1989,
126,PG-13,6/23/1989,Warner Bros. / PolyGram,Batman,411348924,1989,
145,R,1/5/1990,Universal Pictures,Born on the Fourth of July,161001698,1989,
128,PG,6/9/1989,Touchstone Pictures,Dead Poets Society,235860116,1989,
108,PG,6/16/1989,Columbia Pictures,Ghostbusters II,215394738,1989,
93,PG,6/23/1989,Walt Disney Pictures,Honey I Shrunk the Kids,222724172,1989,
127,PG-13,5/24/1989,Paramount Pictures / Lucasfilm,Indiana Jones and the Last Crusade,474171806,1989,
114,R,7/7/1989,Warner Bros.,Lethal Weapon 2,227853986,1989,
93,PG-13,10/13/1989,TriStar Pictures,Look Who's Talking,296999813,1989,
83,G,11/17/1989,Walt Disney Pictures,The Little Mermaid,184155863,1989,
108,PG,5/25/1988,Paramount Pictures,""Crocodile"" Dundee II"",109306210,1988,
92,PG,3/30/1988,Warner Bros. / Geffen Pictures,Beetlejuice,73707461,1988,
104,PG,6/3/1988,20th Century Fox / Gracie Films,Big,114968774,1988,
104,R,7/29/1988,Touchstone Pictures,Cocktail,78222753,1988,
116,R,6/29/1988,Paramount Pictures,Coming to America,128152301,1988,
131,R,7/20/1988,20th Century Fox / Silver Pictures,Die Hard,83008852,1988,
133,R,12/16/1988,United Artists,Rain Man,172825435,1988,
85,PG-13,12/2/1988,Paramount Pictures,The Naked Gun: From the Files of Police Squad!,78756177,1988,
107,PG,12/9/1988,Universal Pictures,Twins,111938388,1988,
104,PG,6/22/1988,Touchstone Pictures / Amblin Entertainment,Who Framed Roger Rabbit,156452370,1988,
100,R,5/20/1987,Paramount,Beverly Hills Cop II,153665036,1987,
119,R,9/18/1987,Paramount Pictures,Fatal Attraction,156645693,1987,
121,R,1/15/1988,Touchstone,Good Morning Vietnam,123922370,1987,
110,R,3/6/1987,Warner Bros.,Lethal Weapon,65207127,1987,
102,PG,1/15/1988,Metro-Goldwyn-Mayer,Moonstruck,80640528,1987,
117,R,8/5/1987,Touchstone,Stakeout,65673230,1987,
111,PG-13,4/10/1987,Universal Pictures,The Secret of My Success,66995000,1987,
119,R,6/3/1987,Paramount,The Untouchables,76270454,1987,
118,R,6/12/1987,Warner Bros.,The Witches of Eastwick,63766510,1987,
102,PG,11/25/1987,Touchstone Pictures,Three Men and a Baby,167780960,1987,
97,PG-13,9/26/1986,Paramount Pictures / 20th Century Fox,""Crocodile"" Dundee"",174803506,1986,
137,R,7/18/1986,20th Century Fox,Aliens,86160248,1986,
80,G,11/21/1986,Universal Studios,An American Tail,84542002,1986,
96,PG-13,6/13/1986,Orion Pictures,Back to School,91258000,1986,
120,R,2/6/1987,Orion Pictures,Platoon,138530565,1986,
93,R,6/27/1986,Buena Vista Pictures Distribution,Ruthless People,71624879,1986,
119,PG,11/26/1986,Paramount Pictures,Star Trek IV: The Voyage Home,109713132,1986,
94,PG-13,12/12/1986,Paramount Pictures,The Golden Child,79817937,1986,
